timestamp,pax_azimuth_deg,pax_ellipticity_deg,pax_theta_deg,pax_eta_deg,pax_dop,pax_power_w,pax_wavelength_nm
1777573659.7196114,76.29609132365165,6.173499921397642,76.29609132365165,6.173499921397642,0.9935946,1.119286e-06,1550.0
1777573669.7226033,76.31471245199342,6.191668413081241,76.31471245199342,6.191668413081241,0.9931674,1.221395e-06,1550.0
1777573679.7253723,76.31786371986662,6.176467842776421,76.31786371986662,6.176467842776421,0.9934388,1.133793e-06,1550.0
1777573689.7290962,76.35264225803107,6.188752057904026,76.35264225803107,6.188752057904026,0.993281,1.175246e-06,1550.0
1777573699.731451,76.37613352763144,6.135340932241929,76.37613352763144,6.135340932241929,0.9935572,1.150893e-06,1550.0
1777573709.7341478,76.4513628861321,6.2009445997844095,76.4513628861321,6.2009445997844095,0.9932104,1.149502e-06,1550.0
1777573719.7368665,76.43440333539624,6.179739431786618,76.43440333539624,6.179739431786618,0.993177,1.183306e-06,1550.0
1777573729.7395828,76.46849432420652,6.168589673093372,76.46849432420652,6.168589673093372,0.992929,1.155457e-06,1550.0
1777573739.742295,76.50052266495433,6.237378985976778,76.50052266495433,6.237378985976778,0.9929558,1.168058e-06,1550.0
1777573749.7444367,76.51364339846283,6.3080017638046035,76.51364339846283,6.3080017638046035,0.9929456,1.096779e-06,1550.0
1777573759.746487,76.64525180400437,6.280465412170616,76.64525180400437,6.280465412170616,0.993081,1.149245e-06,1550.0
1777573769.748708,76.6934948503544,6.394008458431691,76.6934948503544,6.394008458431691,0.993217,1.137461e-06,1550.0
1777573779.7515314,76.76746370170578,6.412509265636466,76.76746370170578,6.412509265636466,0.9933658,1.125475e-06,1550.0
1777573789.7537246,76.82773886175355,6.4959491093413675,76.82773886175355,6.4959491093413675,0.993198,1.159668e-06,1550.0
1777573799.7557902,76.81874342437,6.505729498904251,76.81874342437,6.505729498904251,0.9933444,1.163218e-06,1550.0
1777573809.7579257,76.80195576097266,6.5950421600092435,76.80195576097266,6.5950421600092435,0.9935954,1.184423e-06,1550.0
1777573819.7602637,76.88148230293683,6.561529858572042,76.88148230293683,6.561529858572042,0.993154,1.170791e-06,1550.0
1777573829.762779,76.79364787294327,6.521113415703513,76.79364787294327,6.521113415703513,0.9932482,1.137767e-06,1550.0
1777573839.7653365,76.80241412720876,6.482278336349546,76.80241412720876,6.482278336349546,0.9931346,1.159615e-06,1550.0
1777573849.7680142,76.80963339542741,6.556562314488257,76.80963339542741,6.556562314488257,0.992916,1.143267e-06,1550.0
